ether_value,date,avg_tx_fee
1095777.7074897764,2022-01-01,0.00692104562548607
847870.19344029436,2022-01-02,0.00888343657912261
1187657.9474492487,2022-01-03,0.0087149268614271566
1795025.6208636502,2022-01-04,0.010843458995494958
2164123.6393310088,2022-01-05,0.011744335534912439
2731686.4495964819,2022-01-06,0.011016309499231975
2628305.3825183217,2022-01-07,0.012613874360377078
1455548.9479580389,2022-01-08,0.01003403706510466
1042186.8702786415,2022-01-09,0.013772868506083058
1859489.7055699271,2022-01-10,0.016929509211737758
1646146.0357371185,2022-01-11,0.014395783698591628
1806951.992052414,2022-01-12,0.015191059514216114
2062966.7556025668,2022-01-13,0.01283111113232926
1656961.3066188905,2022-01-14,0.015318215213927998
1052018.0913264505,2022-01-15,0.011421792850867744
1033190.3569251177,2022-01-16,0.011246990311199792
1516897.1684460577,2022-01-17,0.01203989669882001
1535701.4498003272,2022-01-18,0.010437961342893381
2288781.4196261591,2022-01-19,0.010331171786000166
1874421.2074540504,2022-01-20,0.012505830960628152
4172798.8018223038,2022-01-21,0.015280903022808403
3722791.5622547772,2022-01-22,0.013522873834695763
2295796.7122240346,2022-01-23,0.011328760709541755
3441981.8855834431,2022-01-24,0.012216201058082861
2418223.5556913172,2022-01-25,0.011806204815324009
2774787.3646693053,2022-01-26,0.012142940867126235
2690811.6889653294,2022-01-27,0.013480965413803012
2258902.8918978707,2022-01-28,0.012094360645240984
1584467.0470767329,2022-01-29,0.010075808283048635
1591002.5089306422,2022-01-30,0.010832545797755404
2146297.0169833596,2022-01-31,0.010096414347834868
1993142.032452656,2022-02-01,0.013047775110936943
1591308.5338274506,2022-02-02,0.012998320121859941
2520064.0132055166,2022-02-03,0.010845476786368956
2082515.1463448177,2022-02-04,0.0091862187836181889
1278328.6422770827,2022-02-05,0.01103482157404234
888096.71991964919,2022-02-06,0.0064129878085358322
2069073.0394226406,2022-02-07,0.009848637054575669
1922730.5864186632,2022-02-08,0.0075863405393278337
1768468.6480757433,2022-02-09,0.0078523749794291737
2857864.3339713393,2022-02-10,0.009101025070359316
2234306.041386853,2022-02-11,0.00641459594761991
1237002.2541304613,2022-02-12,0.0059765133541144879
962895.14312366839,2022-02-13,0.0051702744484998543
1616535.0322585925,2022-02-14,0.00551024694974624
1870769.8342503628,2022-02-15,0.0064809664896277779
1384518.7054881253,2022-02-16,0.0068954793462600176
1692105.2937103079,2022-02-17,0.0067849112112149113
1674674.5878690081,2022-02-18,0.0076592725333530388
824657.10584527475,2022-02-19,0.00615070489292567
1213201.4956728241,2022-02-20,0.0055809744288129962
1660024.1964657928,2022-02-21,0.0080117045844019779
1437710.4755838532,2022-02-22,0.0078107143279599212
1505186.8234197297,2022-02-23,0.00865715800208474
3902691.0229609008,2022-02-24,0.0075731318708531651
2127553.7323023286,2022-02-25,0.0056538115244378819
1098467.1011428109,2022-02-26,0.0046650796284460529
1099139.5439601499,2022-02-27,0.0040771077782398874
1855363.7707859268,2022-02-28,0.0067033897874426282
2149645.9107804149,2022-03-01,0.0052550325645309365
1685697.5237795045,2022-03-02,0.0047170333656971018
1583296.18047359,2022-03-03,0.004426913185202829
1909284.0743331625,2022-03-04,0.0042688666450315443
964311.327291104,2022-03-05,0.0034892205903239121
718169.6885594324,2022-03-06,0.0044166254501316268
1698069.3329199515,2022-03-07,0.0037679337594762217
1709860.132121799,2022-03-08,0.004014724982204231
1406584.4160634708,2022-03-09,0.0033936947496016646
1590469.8976023421,2022-03-10,0.0028787846288598727
1255404.9533620956,2022-03-11,0.0029480868158041395
603005.40691756771,2022-03-12,0.0023151160462241858
780469.82399073732,2022-03-13,0.0033931034848601435
1160517.3745921648,2022-03-14,0.0031855786837679478
2700010.9294029679,2022-03-15,0.0032760020029375145
1764174.2031468393,2022-03-16,0.0034929417003722383
1689229.2850913019,2022-03-17,0.0061481842374435528
2013612.0431693317,2022-03-18,0.0053395155369373917
1625767.70833304,2022-03-19,0.0028730175590709374
727649.80599547562,2022-03-20,0.0025476392413486164
1599887.7514968172,2022-03-21,0.0030359492525313791
2115714.1377778728,2022-03-22,0.0036256856104146589
1497741.6930971227,2022-03-23,0.0034411180248815083
1914992.0546750326,2022-03-24,0.0045214010026414422
2005181.2245035914,2022-03-25,0.0042071836304896889
672549.19746792142,2022-03-26,0.0029869406623801806
861401.03600711166,2022-03-27,0.0054992239956639256
